,Labels
514,7
515,7
516,7
517,7
518,7
519,8
520,5
521,4
522,4
523,6
524,7
525,7
526,4
527,3
528,7
529,7
530,7
531,7
532,6
533,7
534,5
535,3
536,7
537,7
538,3
539,7
540,7
541,7
542,7
543,5
544,3
545,7
546,7
547,6
548,7
549,7
550,6
551,7
552,7
553,7
554,7
555,6
556,7
557,7
558,4
559,7
560,7
561,7
562,6
563,7
564,7
565,7
566,7
567,7
568,7
569,8
570,6
571,7
572,6
573,7
574,7
575,7
576,7
577,7
578,8
579,7
580,7
581,7
582,7
583,7
584,7
585,6
586,7
587,7
588,7
589,8
590,5
591,7
592,7
593,4
594,3
595,3
596,7
597,7
598,6
599,7
600,7
601,6
602,7
603,7
604,6
605,7
606,7
607,7
608,7
609,6
610,5
611,6
612,7
613,6
614,7
615,6
616,5
617,7
618,5
619,7
620,6
621,7
622,7
623,7
624,8
625,6
626,6
627,6
628,6
629,7
630,5
631,7
632,7
633,7
634,7
635,7
636,7
637,6
638,6
639,6
640,7
641,5
642,6
643,5
644,6
645,5
646,7
647,7
648,6
649,7
650,7
651,6
652,7
653,7
654,5
655,6
656,6
657,7
658,7
659,6
660,7
661,8
662,7
663,7
664,7
665,6
666,7
667,7
668,6
669,6
670,7
671,6
672,7
673,7
674,4
675,7
676,6
677,5
678,7
679,7
680,5
681,7
682,7
683,6
684,7
685,7
686,6
687,7
688,7
689,6
690,7
691,6
692,3
693,5
694,4
695,6
696,5
697,3
698,7
699,5
700,4
701,6
702,7
703,5
704,4
705,6
706,4
707,7
708,6
709,3
710,7
711,5
712,4
713,5
714,3
715,4
716,3
717,7
718,5
719,5
720,3
721,5
722,4
723,6
724,5
725,5
726,5
727,7
728,6
729,7
730,7
731,6
732,6
733,6
734,6
735,4
736,6
737,4
738,3
739,6
740,4
741,6
742,5
743,3
744,4
745,3
746,7
747,5
748,3
749,6
750,5
751,6
752,6
753,5
754,6
755,4
756,5
757,3
758,6
759,3
760,5
761,3
762,6
763,4
764,6
765,4
766,5
767,3
768,6
769,7
770,5
771,6
772,6
773,7
774,5
775,6
776,4
777,6
778,5
779,5
780,4
781,4
782,3
783,5
784,6
785,7
786,5
787,7
788,6
789,4
790,7
791,5
792,7
793,7
794,7
795,6
796,4
797,7
798,6
799,5
800,6
801,4
802,3
803,6
804,4
805,5
806,4
807,5
808,4
809,5
810,5
811,6
812,4
813,6
814,6
815,7
816,4
817,3
818,5
819,4
820,4
821,5
822,4
823,7
824,6
825,4
826,4
827,7
828,4
829,5
830,4
831,7
832,7
833,3
834,6
835,4
836,6
837,6
838,6
839,4
840,6
841,5
842,5
843,6
844,4
845,7
846,5
847,5
848,6
849,4
850,6
851,6
852,8
853,8
854,3
855,7
856,8
857,6
858,7
859,7
860,8
861,7
862,7
863,3
864,8
865,7
866,8
867,4
868,3
869,3
870,4
871,3
872,3
873,4
874,4
875,4
876,8
877,7
878,7
879,8
880,6
881,8
882,8
883,8
884,8
885,4
886,3
887,4
888,4
889,3
890,4
891,5
892,3
893,4
894,8
895,3
896,2
897,3
898,8
899,7
900,7
901,4
902,5
903,8
904,7
905,7
906,8
907,7
908,3
909,7
910,7
911,7
912,8
913,8
914,3
915,2
916,6
917,7
918,2
919,3
920,8
921,7
922,8
923,7
924,7
925,6
926,2
927,8
928,7
929,4
930,5
931,8
932,7
933,8
934,8
935,8
936,7
937,4
938,6
939,8
940,7
941,8
942,8
943,5
944,7
945,8
946,7
947,8
948,8
949,8
950,8
951,7
952,7
953,8
954,3
955,2
956,3
957,7
958,5
959,3
960,8
961,3
962,2
963,3
964,5
965,7
966,2
967,3
968,4
969,3
970,3
971,3
972,4
973,4
974,4
975,3
976,5
977,4
978,3
979,3
980,3
981,3
982,5
983,4
984,3
985,4
986,7
987,2
988,7
989,8
990,8
991,7
992,8
993,8
994,8
995,3
996,7
997,8
998,6
999,8
1000,8
1001,5
1002,2
1003,2
1004,6
1005,8
1006,8
1007,7
1008,8
1009,8
1010,7
1011,7
1012,8
1013,8
1014,8
1015,8
1016,7
1017,7
1018,8
1019,7
1020,8
1021,8
1022,3
1023,2
1024,6
1025,7
1026,8
1027,6
1028,7
1029,7
1030,8
1031,7
1032,6
1033,4
1034,7
1035,8
1036,8
1037,8
1038,8
1039,7
1040,8
1041,8
1042,7
1043,8
1044,8
1045,7
1046,7
1047,7
1048,8
1049,7
1050,8
1051,8
1052,6
1053,7
1054,8
1055,7
1056,7
1057,7
1058,2
1059,3
1060,8
1061,7
1062,5
1063,2
1064,3
1065,7
1066,8
1067,7
1068,5
1069,6
1070,8
1071,7
1072,7
1073,8
1074,7
1075,7
1076,8
1077,7
1078,7
1079,8
1080,3
1081,2
1082,5
1083,8
1084,8
1085,7
1086,8
1087,8
1088,7
1089,8
1090,8
1091,6
1092,6
1093,8
1094,8
1095,7
1096,8
1097,4
1098,3
1099,4
1100,3
1101,4
1102,4
1103,5
1104,4
1105,5
1106,4
1107,3
1108,4
1109,5
1110,4
1111,5
1112,4
1113,4
1114,4
1115,8
1116,5
1117,2
1118,8
1119,2
1120,3
1121,8
1122,7
1123,6
1124,2
1125,6
1126,8
1127,7
1128,7
1129,4
1130,3
1131,4
1132,4
1133,4
1134,5
1135,5
1136,4
1137,4
1138,4
1139,3
1140,3
1141,4
1142,4
1143,5
1144,5
1145,4
1146,5
1147,7
1148,7
1149,7
1150,8
1151,7
1152,8
1153,8
1154,7
1155,8
1156,8
1157,7
1158,8
1159,8
1160,8
1161,7
1162,7
1163,8
1164,2
1165,4
1166,8
1167,2
1168,3
1169,8
1170,4
1171,2
1172,7
1173,7
1174,7
1175,8
1176,3
1177,2
1178,5
1179,6
1180,4
1181,8
1182,8
1183,7
1184,8
1185,8
1186,7
1187,8
1188,8
1189,7
1190,4
1191,4
1192,7
1193,8
1194,2
1195,3
1196,8
1197,8
1198,3
1199,2
1200,5
1201,4
1202,3
1203,6
1204,8
1205,7
1206,8
1207,8
1208,6
1209,8
1210,8
1211,7
1212,4
1213,7
1214,8
1215,7
1216,8
1217,8
1218,7
1219,4
1220,4
1221,3
1222,2
1223,8
1224,7
1225,8
1226,8
1227,7
1228,7
1229,8
1230,6
1231,8
1232,8
1233,7
1234,8
1235,7
1236,7
1237,8
1238,7
1239,2
1240,3
1241,8
1242,7
1243,8
1244,8
1245,8
1246,8
1247,8
1248,8
1249,8
1250,8
1251,2
1252,3
1253,8
1254,8
1255,8
1256,8
1257,8
1258,8
1259,8
1260,8
1261,3
1262,2
1263,2
1264,5
1265,3
1266,5
1267,3
1268,4
1269,2
1270,3
1271,2
1272,2
1273,5
1274,3
1275,5
1276,3
1277,4
1278,2
1279,2
1280,2
1281,3
1282,3
1283,3
1284,4
1285,3
1286,3
1287,2
1288,3
1289,3
1290,3
1291,3
1292,4
1293,4
1294,3
1295,3
1296,3
1297,8
1298,8
1299,3
1300,3
1301,8
1302,2
1303,8
1304,8
1305,8
1306,8
1307,8
1308,8
1309,8
1310,8
1311,8
1312,8
1313,8
1314,8
1315,7
1316,3
1317,8
1318,2
1319,2
1320,2
1321,4
1322,3
1323,4
1324,3
1325,3
1326,3
1327,2
1328,7
1329,2
1330,3
1331,3
1332,3
1333,2
1334,3
1335,2
1336,8
1337,8
1338,8
1339,8
1340,8
1341,8
1342,8
1343,8
1344,8
1345,8
1346,7
1347,8
1348,8
1349,8
1350,8
1351,8
1352,7
1353,6
1354,7
1355,4
1356,8
1357,8
1358,8
1359,8
1360,8
1361,8
1362,8
1363,3
1364,8
1365,8
1366,8
1367,8
1368,8
1369,3
1370,8
1371,3
1372,8
1373,8
1374,8
1375,8
1376,8
1377,7
1378,8
1379,8
1380,3
1381,2
1382,2
1383,4
1384,3
1385,4
1386,3
1387,3
1388,3
1389,3
1390,2
1391,2
1392,4
1393,5
1394,4
1395,4
1396,3
1397,3
1398,7
1399,7
1400,2
1401,3
1402,8
1403,8
1404,4
1405,2
1406,3
1407,4
1408,4
1409,5
1410,3
1411,3
1412,3
1413,3
1414,3
1415,2
1416,4
1417,3
1418,4
1419,3
1420,3
1421,3
1422,8
1423,8
1424,8
1425,3
1426,7
1427,7
1428,8
1429,7
1430,8
1431,7
1432,2
1433,3
1434,7
1435,4
1436,8
1437,8
1438,8
1439,8
1440,8
1441,8
1442,8
1443,8
1444,2
1445,4
1446,8
1447,8
1448,8
1449,8
1450,8
1451,8
1452,3
1453,8
1454,8
1455,8
1456,8
1457,8
1458,3
1459,7
1460,6
1461,5
1462,8
1463,5
1464,5
1465,6
1466,4
1467,5
1468,8
1469,8
1470,8
1471,8
1472,8
1473,8
1474,8
1475,8
1476,7
1477,8
1478,8
1479,8
1480,7
1481,7
1482,7
1483,8
1484,7
1485,6
1486,6
1487,8
1488,7
1489,8
1490,7
1491,7
1492,6
1493,6
1494,6
1495,5
1496,8
1497,7
1498,8
1499,5
1500,5
1501,8
1502,7
1503,6
1504,4
1505,6
1506,5
1507,8
1508,8
1509,5
1510,6
1511,8
1512,7
1513,7
1514,8
1515,8
1516,8
1517,4
1518,7
1519,8
1520,8
1521,8
1522,7
1523,8
1524,8
1525,8
1526,6
1527,6
1528,6
1529,6
1530,7
1531,8
1532,5
1533,5
1534,8
1535,7
1536,8
1537,4
1538,4
1539,6
1540,5
1541,8
1542,6
1543,4
1544,8
1545,4
1546,4
1547,8
1548,8
1549,5
1550,5
1551,8
1552,8
1553,8
1554,8
1555,8
1556,8
1557,8
1558,8
1559,7
1560,7
1561,5
1562,5
1563,8
1564,8
1565,6
1566,7
1567,7
1568,7
1569,7
1570,5
1571,8
1572,7
1573,7
1574,6
1575,4
1576,8
1577,8
1578,5
1579,5
1580,8
1581,7
1582,4
1583,5
1584,8
1585,5
1586,6
1587,5
1588,6
1589,5
1590,7
1591,7
1592,5
1593,6
1594,6
1595,5
1596,7
1597,3
1598,3
1599,6
1600,5
1601,7
1602,7
1603,5
1604,6
1605,6
1606,6
1607,5
1608,6
1609,7
1610,6
1611,4
1612,5
1613,5
1614,4
1615,4
1616,3
1617,4
1618,4
1619,7
1620,6
1621,5
1622,6
1623,2
1624,7
1625,6
1626,6
1627,7
1628,5
1629,4
1630,4
1631,7
1632,6
1633,6
1634,6
1635,7
1636,7
1637,6
1638,6
1639,7
1640,7
1641,7
1642,7
1643,3
1644,5
1645,2
1646,3
1647,3
1648,6
1649,5
1650,4
1651,7
1652,7
1653,6
1654,7
1655,6
1656,7
1657,7
1658,7
1659,5
1660,3
1661,7
1662,6
1663,6
1664,6
1665,7
1666,7
1667,5
1668,6
1669,8
1670,6
1671,5
1672,7
1673,6
1674,7
1675,4
1676,3
1677,4
1678,7
1679,5
1680,6
1681,2
1682,2
1683,6
1684,6
1685,7
1686,7
1687,7
1688,7
1689,7
1690,7
1691,7
1692,8
1693,8
1694,7
1695,5
1696,8
1697,6
1698,4
1699,5
1700,7
1701,5
1702,5
1703,7
1704,7
1705,7
1706,5
1707,5
1708,4
1709,7
1710,7
1711,7
1712,5
1713,5
1714,4
1715,5
1716,5
1717,4
1718,7
1719,5
1720,4
1721,7
1722,7
1723,7
1724,7
1725,5
1726,4
1727,3
1728,7
1729,3
1730,6
1731,5
1732,5
1733,6
1734,5
1735,5
1736,7
1737,7
1738,7
1739,5
1740,6
1741,5
1742,6
1743,6
1744,6
1745,4
1746,7
1747,5
1748,7
1749,6
1750,4
1751,7
1752,5
1753,4
1754,6
1755,5
1756,7
1757,5
1758,3
1759,7
1760,5
1761,3
1762,7
1763,6
1764,5
1765,4
1766,7
1767,7
1768,6
1769,6
1770,7
1771,6
1772,4
1773,6
1774,6
1775,8
1776,5
1777,6
1778,6
1779,5
1780,7
1781,7
1782,7
1783,7
1784,6
1785,7
1786,6
1787,5
1788,5
1789,8
1790,7
1791,6
1792,6
1793,5
1794,7
1795,7
1796,3
1797,8
1798,7
1799,4
1800,8
1801,5
1802,4
1803,4
1804,6
1805,5
1806,5
1807,6
1808,5
1809,3
1810,4
1811,4
1812,4
1813,3
1814,5
1815,3
1816,3
1817,3
1818,6
1819,2
1820,8
1821,7
1822,7
1823,5
1824,7
1825,5
1826,8
1827,6
1828,8
1829,5
1830,7
1831,6
1832,6
1833,3
1834,7
1835,4
1836,7
1837,4
1838,8
1839,5
1840,7
1841,5
1842,8
1843,7
1844,4
1845,7
1846,6
1847,8
1848,5
1849,8
1850,5
1851,8
1852,6
1853,8
1854,7
1855,8
1856,6
1857,7
1858,4
1859,7
1860,4
1861,8
1862,4
1863,7
1864,4
1865,7
1866,4
1867,7
1868,4
1869,8
1870,6
1871,8
1872,5
1873,7
1874,4
1875,8
1876,5
1877,7
1878,4
1879,7
1880,3
1881,7
1882,4
1883,7
1884,4
1885,8
1886,5
1887,7
1888,4
1889,7
1890,4
1891,8
1892,5
1893,8
1894,4
1895,7
1896,5
1897,7
1898,4
1899,6
1900,3
1901,7
1902,4
1903,7
1904,4
1905,8
1906,4
1907,8
1908,5
1909,8
1910,4
1911,7
1912,5
1913,7
1914,4
1915,8
1916,6
1917,3
1918,5
1919,3
1920,2
1921,2
1922,3
1923,3
1924,5
1925,5
1926,5
1927,4
1928,4
1929,3
1930,8
1931,2
1932,3
1933,3
1934,6
1935,6
1936,3
1937,3
1938,3
1939,3
1940,3
1941,5
1942,3
1943,5
1944,3
1945,3
1946,2
1947,2
1948,2
1949,4
1950,6
1951,3
1952,3
1953,3
1954,5
1955,3
1956,3
1957,2
1958,4
1959,3
1960,4
1961,3
1962,2
1963,2
1964,3
1965,3
1966,3
1967,4
1968,8
1969,3
1970,2
1971,2
1972,2
1973,6
1974,4
1975,6
1976,3
1977,2
1978,3
1979,3
1980,2
1981,3
1982,2
1983,3
1984,4
1985,3
1986,2
1987,2
1988,2
1989,2
1990,5
1991,2
1992,4
1993,4
1994,3
1995,2
1996,3
1997,5
1998,2
1999,2
2000,3
2001,2
2002,2
2003,3
2004,4
2005,6
2006,2
2007,3
2008,5
2009,2
2010,5
2011,3
2012,8
2013,4
2014,5
2015,2
2016,4
2017,4
2018,3
2019,2
2020,2
2021,2
2022,2
2023,3
2024,2
2025,4
2026,3
2027,2
2028,2
2029,2
2030,5
2031,2
2032,2
2033,4
2034,3
2035,2
2036,2
2037,2
2038,5
2039,4
2040,2
2041,5
2042,3
2043,3
2044,3
2045,3
2046,2
2047,3
2048,3
2049,2
2050,3
2051,5
2052,3
2053,5
2054,3
2055,4
2056,4
2057,2
2058,2
2059,2
2060,3
2061,3
2062,2
2063,6
2064,4
2065,2
2066,2
2067,2
2068,2
2069,8
2070,2
2071,6
2072,2
2073,2
2074,3
2075,2
2076,2
2077,3
2078,4
2079,4
2080,2
2081,5
2082,3
2083,5
2084,4
2085,4
2086,3
2087,3
2088,3
2089,3
2090,3
2091,3
2092,4
2093,3
2094,2
2095,3
2096,2
2097,4
2098,2
2099,3
2100,3
2101,5
2102,2
2103,4
2104,3
2105,2
2106,2
2107,4
2108,3
2109,2
2110,6
2111,2
2112,8
2113,2
2114,3
2115,3
2116,4
2117,2
2118,6
2119,5
2120,5
2121,4
2122,2
2123,3
2124,2
2125,4
2126,2
2127,3
2128,4
2129,2
2130,5
2131,2
2132,3
2133,3
2134,3
2135,2
2136,2
2137,2
2138,3
2139,2
2140,3
2141,2
2142,2
2143,6
2144,2
2145,3
2146,3
2147,2
2148,6
2149,5
2150,3
2151,3
2152,5
2153,2
2154,5
2155,6
2156,6
2157,4
2158,2
2159,4
2160,2
2161,2
2162,3
2163,2
2164,2
2165,5
2166,3
2167,3
2168,6
2169,3
2170,3
2171,6
2172,4
2173,3
2174,3
2175,2
2176,2
2177,3
2178,4
2179,2
2180,5
2181,2
2182,3
2183,2
2184,5
2185,4
2186,3
2187,2
2188,4
2189,3
2190,3
2191,3
2192,2
2193,2
2194,4
2195,5
2196,4
2197,2
2198,2
2199,5
2200,2
2201,3
2202,4
2203,2
2204,3
2205,4
2206,2
2207,4
2208,5
2209,2
2210,2
2211,4
2212,2
2213,2
2214,4
2215,3
2216,3
2217,5
2218,5
2219,7
2220,3
2221,3
2222,2
2223,2
2224,2
2225,2
2226,4
2227,5
2228,2
2229,2
2230,3
2231,6
2232,3
2233,2
2234,3
2235,3
2236,4
2237,2
2238,2
2239,5
2240,4
2241,6
2242,3
2243,2
2244,4
2245,4
2246,3
2247,3
2248,3
2249,3
2250,5
2251,4
2252,2
2253,3
2254,3
2255,4
2256,3
2257,2
2258,2
2259,6
2260,2
2261,2
2262,3
2263,4
2264,4
2265,3
2266,2
2267,2
2268,2
2269,4
2270,3
2271,4
2272,3
2273,2
2274,3
2275,3
2276,3
2277,6
2278,2
2279,4
2280,3
2281,4
2282,2
2283,2
2284,2
2285,6
2286,2
2287,2
2288,2
2289,3
2290,3
2291,2
2292,2
2293,5
2294,5
2295,2
2296,4
2297,4
2298,3
2299,5
2300,4
2301,3
2302,2
2303,3
2304,4
2305,2
2306,5
2307,2
2308,2
2309,3
2310,4
2311,2
2312,5
2313,3
2314,7
2315,2
2316,3
2317,4
2318,2
2319,2
2320,3
2321,3
2322,5
2323,3
2324,5
2325,4
2326,3
2327,3
2328,6
2329,2
2330,2
2331,3
2332,3
2333,3
2334,3
2335,3
2336,3
2337,3
2338,3
2339,2
2340,4
2341,8
2342,4
2343,2
2344,2
2345,2
2346,3
2347,2
2348,5
2349,2
2350,2
2351,3
2352,4
2353,3
2354,2
2355,5
2356,2
2357,2
2358,3
2359,3
2360,2
2361,2
2362,2
2363,2
2364,3
2365,4
2366,2
2367,5
2368,3
2369,4
2370,4
2371,4
2372,4
2373,4
2374,4
2375,2
2376,3
2377,3
2378,4
2379,3
2380,3
2381,3
2382,4
2383,6
2384,2
2385,3
2386,3
2387,3
2388,2
2389,3
2390,2
2391,4
2392,5
2393,3
2394,3
2395,6
2396,5
2397,2
2398,2
2399,2
2400,2
2401,2
2402,7
2403,3
2404,2
2405,6
2406,5
2407,2
2408,3
2409,4
2410,3
2411,3
2412,7
2413,2
2414,4
2415,3
2416,4
2417,3
2418,3
2419,3
2420,4
2421,4
2422,3
2423,3
2424,4
2425,3
2426,3
2427,4
2428,3
2429,3
2430,3
2431,2
2432,4
2433,4
2434,4
2435,3
2436,3
2437,5
2438,2
2439,2
2440,3
2441,3
2442,2
2443,7
2444,2
2445,7
2446,2
2447,2
2448,6
2449,3
2450,5
2451,4
2452,2
2453,5
2454,4
2455,4
2456,2
2457,3
2458,3
2459,2
2460,3
2461,2
2462,3
2463,2
2464,2
2465,2
2466,2
2467,4
2468,6
2469,3
2470,5
2471,2
2472,3
2473,2
2474,2
2475,3
2476,2
2477,4
2478,4
2479,2
2480,3
2481,4
2482,2
2483,6
2484,3
2485,4
2486,4
2487,4
2488,3
2489,3
2490,4
2491,3
2492,3
2493,5
2494,4
2495,4
2496,3
2497,3
2498,3
2499,2
2500,2
2501,2
2502,2
2503,3
2504,2
2505,4
2506,6
2507,2
2508,2
2509,2
2510,4
2511,7
2512,3
2513,6
2514,5
2515,2
2516,2
2517,4
2518,4
2519,4
2520,4
2521,4
2522,5
2523,5
2524,3
2525,2
2526,3
2527,4
2528,3
2529,2
2530,4
2531,3
2532,6
2533,6
2534,4
2535,5
2536,4
2537,3
2538,4
2539,2
2540,3
2541,2
2542,3
2543,3
2544,3
2545,2
2546,2
2547,7
2548,2
2549,4
2550,2
2551,2
2552,4
2553,2
2554,3
2555,2
2556,2
2557,3
2558,3
2559,2
2560,3
2561,3
2562,3
2563,3
2564,2
2565,2
2566,7
2567,4
2568,3
2569,6
2570,3
2571,2
2572,3
2573,3
2574,3
2575,3
2576,3
2577,2
2578,3
2579,3
2580,3
2581,3
2582,4
2583,3
2584,3
2585,2
2586,5
2587,3
2588,6
2589,4
2590,2
2591,3
2592,2
2593,2
2594,4
2595,4
2596,3
2597,2
2598,3
2599,5
2600,3
2601,3
2602,6
2603,5
2604,2
2605,4
2606,3
2607,5
2608,3
2609,2
2610,2
2611,2
2612,3
2613,2
2614,4
2615,3
2616,4
2617,4
2618,3
2619,2
2620,2
2621,3
2622,3
2623,2
2624,5
2625,3
2626,3
2627,2
2628,3
2629,2
2630,2
2631,2
2632,2
2633,4
2634,2
2635,3
2636,6
2637,3
2638,2
2639,3
2640,2
2641,2
2642,3
2643,4
2644,3
2645,2
2646,6
2647,3
2648,4
2649,3
2650,5
2651,3
2652,5
2653,2
2654,3
2655,2
2656,5
2657,6
2658,4
2659,5
2660,5
2661,2
2662,6
2663,4
2664,6
2665,5
2666,2
2667,4
2668,5
2669,5
2670,2
2671,5
2672,3
2673,7
2674,3
2675,2
2676,5
2677,2
2678,3
2679,2
2680,2
2681,3
2682,4
2683,3
2684,3
2685,3
2686,3
2687,2
2688,2
2689,5
2690,2
2691,2
2692,2
2693,5
2694,8
2695,5
2696,2
2697,2
2698,2
2699,3
2700,2
2701,3
2702,5
2703,2
2704,3
2705,2
2706,3
2707,3
2708,3
2709,5
2710,4
2711,4
2712,2
2713,5
2714,5
2715,2
2716,6
2717,5
2718,2
2719,3
2720,3
2721,3
2722,5
2723,3
2724,2
2725,2
2726,3
2727,5
2728,5
2729,2
2730,4
2731,3
2732,3
2733,6
2734,3
2735,6
2736,2
2737,3
2738,3
2739,2
2740,5
2741,2
2742,4
2743,3
2744,3
2745,3
2746,3
2747,3
2748,3
2749,3
2750,2
2751,6
2752,2
2753,2
2754,3
2755,3
2756,4
2757,2
2758,3
2759,4
2760,5
2761,4
2762,3
2763,2
2764,2
2765,2
2766,3
2767,3
2768,4
2769,2
2770,2
2771,3
2772,4
2773,3
2774,4
2775,3
2776,3
2777,2
2778,4
2779,3
2780,2
2781,6
2782,2
2783,3
2784,2
2785,5
2786,5
2787,3
2788,2
2789,5
2790,7
2791,2
2792,3
2793,3
2794,3
2795,2
2796,4
2797,2
2798,2
2799,3
2800,3
2801,5
2802,4
2803,2
2804,2
2805,5
2806,3
2807,2
2808,2
2809,5
2810,3
2811,4
2812,6
2813,7
2814,3
2815,2
2816,2
2817,2
2818,2
2819,3
2820,2
2821,3
2822,2
2823,4
2824,6
2825,6
2826,3
2827,2
2828,6
2829,3
2830,3
2831,2
2832,4
2833,3
2834,2
2835,4
2836,4
2837,2
2838,3
2839,3
2840,3
2841,5
2842,6
2843,3
2844,3
2845,6
2846,4
2847,5
2848,5
2849,5
2850,2
2851,3
2852,3
2853,3
2854,8
2855,3
2856,6
2857,2
2858,4
2859,4
2860,3
2861,6
2862,2
2863,3
2864,5
2865,3
2866,2
2867,2
2868,3
2869,3
2870,4
2871,2
2872,3
2873,3
2874,2
2875,3
2876,4
2877,3
2878,3
2879,2
2880,2
2881,2
2882,2
2883,3
2884,3
2885,2
2886,2
2887,2
2888,2
2889,3
2890,2
2891,2
2892,3
2893,3
2894,4
2895,5
2896,3
2897,3
2898,3
2899,3
2900,2
2901,3
2902,4
2903,4
2904,3
2905,2
2906,3
2907,5
2908,5
2909,2
2910,2
2911,6
2912,3
2913,6
2914,2
2915,2
2916,2
2917,5
2918,3
2919,2
2920,2
2921,6
2922,6
2923,2
2924,4
2925,3
2926,4
2927,6
2928,3
2929,6
2930,3
2931,3
2932,3
2933,3
2934,5
2935,3
2936,6
2937,2
2938,2
2939,3
2940,5
2941,4
2942,2
2943,3
2944,4
2945,4
2946,4
2947,3
2948,5
2949,2
2950,5
2951,3
2952,2
2953,3
2954,4
2955,2
2956,4
2957,5
2958,3
2959,3
2960,3
2961,5
2962,3
2963,2
2964,3
2965,3
2966,2
2967,3
2968,3
2969,2
2970,2
2971,3
2972,2
2973,2
2974,5
2975,3
