,Composer,Title,KeySignature,Duration,highestOffset,highestTimeD,Tempo,firstTimeSig,timeSigChanges,noteCount,keySigChanges
67,Bach,bwv174.5.mxl,4,76.0,73.0,76.0,76.0,1.0,1,370,1
68,Bach,bwv175.7.mxl,2,112.0,109.0,112.0,112.0,1.0,1,770,1
69,Bach,bwv176.6.mxl,16,72.0,69.0,72.0,72.0,1.0,1,361,2
70,Bach,bwv177.4.mxl,2,40.0,37.0,40.0,40.0,1.0,1,204,1
71,Bach,bwv177.5.mxl,4,52.0,49.0,52.0,52.0,1.0,1,265,2
72,Bach,bwv178.7.mxl,1,56.0,53.0,56.0,56.0,1.0,1,266,1
73,Bach,bwv179.6.mxl,1,36.0,33.0,36.0,36.0,1.0,1,177,2
74,Bach,bwv18.5-lz.mxl,2,52.0,49.0,52.0,52.0,1.0,1,236,2
75,Bach,bwv18.5-w.mxl,8,52.0,49.0,52.0,52.0,1.0,1,239,2
76,Bach,bwv180.7.mxl,2,60.0,56.0,60.0,60.0,1.0,1,254,1
77,Bach,bwv183.5.mxl,1,48.0,45.0,48.0,48.0,1.0,1,241,2
78,Bach,bwv184.5.mxl,4,56.0,53.0,56.0,56.0,1.0,1,237,1
79,Bach,bwv185.6.mxl,4,68.0,65.0,68.0,68.0,1.0,1,446,1
80,Bach,bwv187.7.mxl,4,84.0,81.0,84.0,84.0,0.75,1,282,2
81,Bach,bwv188.6.mxl,1,48.0,45.0,48.0,48.0,1.0,1,212,1
82,Bach,bwv19.7.mxl,1,81.0,78.0,81.0,81.0,0.75,1,453,2
83,Bach,bwv190.7-inst.mxl,4,128.0,125.0,128.0,128.0,1.0,1,1803,1
84,Bach,bwv190.7.mxl,4,128.0,125.0,128.0,128.0,1.0,1,444,1
85,Bach,bwv194.12.mxl,4,49.0,46.0,49.0,49.0,0.75,1,151,1
86,Bach,bwv194.6.mxl,4,52.0,48.0,52.0,52.0,1.0,1,223,1
87,Bach,bwv195.6.mxl,2,40.0,37.0,40.0,40.0,1.0,1,409,1
88,Bach,bwv197.10.mxl,4,36.0,33.0,36.0,36.0,1.0,1,155,2
89,Bach,bwv197.5.mxl,8,56.0,53.0,56.0,56.0,1.0,1,282,1
90,Bach,bwv197.7-a.mxl,4,64.0,61.0,64.0,64.0,1.0,1,278,1
91,Bach,bwv2.6.mxl,4,44.0,41.0,44.0,44.0,1.0,1,188,2
92,Bach,bwv20.11.mxl,2,40.0,37.0,40.0,40.0,1.0,1,182,1
93,Bach,bwv20.7.mxl,2,64.0,61.0,64.0,64.0,1.0,1,292,1
94,Bach,bwv226.2.mxl,4,96.0,93.0,96.0,96.0,1.0,1,451,1
95,Bach,bwv227.1.mxl,2,76.0,72.0,76.0,76.0,1.0,1,279,1
96,Bach,bwv227.11.mxl,2,52.0,48.0,52.0,52.0,1.0,1,190,2
97,Bach,bwv227.3.mxl,2,76.0,72.0,76.0,76.0,1.0,1,377,1
98,Bach,bwv227.7.mxl,2,52.0,48.0,52.0,52.0,1.0,1,307,2
99,Bach,bwv229.2.mxl,4,84.0,81.0,84.0,84.0,0.75,1,364,1
100,Bach,bwv24.6.mxl,2,52.0,49.0,52.0,52.0,1.0,1,277,1
101,Bach,bwv244.10.mxl,16,48.0,45.0,48.0,48.0,1.0,1,221,1
102,Bach,bwv244.15.mxl,4,48.0,45.0,48.0,48.0,1.0,1,194,2
103,Bach,bwv244.17.mxl,8,64.0,61.0,64.0,64.0,1.0,1,258,1
104,Bach,bwv244.25.mxl,4,48.0,45.0,48.0,48.0,1.0,1,233,2
105,Bach,bwv244.29-a.mxl,16,52.0,48.0,52.0,52.0,1.0,1,265,1
106,Bach,bwv244.3.mxl,4,44.0,41.0,44.0,44.0,1.0,1,194,2
107,Bach,bwv244.32.mxl,4,44.0,41.0,44.0,44.0,1.0,1,208,1
108,Bach,bwv244.37.mxl,2,48.0,45.0,48.0,48.0,1.0,1,218,1
109,Bach,bwv244.40.mxl,8,64.0,60.0,64.0,64.0,1.0,1,310,1
110,Bach,bwv244.44.mxl,4,48.0,45.0,48.0,48.0,1.0,1,195,1
111,Bach,bwv244.46.mxl,4,44.0,41.0,44.0,44.0,1.0,1,186,2
112,Bach,bwv244.54.mxl,2,48.0,45.0,48.0,48.0,1.0,1,192,2
113,Bach,bwv244.62.mxl,1,48.0,45.0,48.0,48.0,1.0,1,198,2
114,Bach,bwv245.11.mxl,8,48.0,45.0,48.0,48.0,1.0,1,207,1
115,Bach,bwv245.14.mxl,8,64.0,60.0,64.0,64.0,1.0,1,256,1
116,Bach,bwv245.15.mxl,1,68.0,64.0,68.0,68.0,1.0,1,251,2
117,Bach,bwv245.17.mxl,1,44.0,41.0,44.0,44.0,1.0,1,218,2
118,Bach,bwv245.22.mxl,16,32.0,29.0,32.0,32.0,1.0,1,153,1
119,Bach,bwv245.26.mxl,8,48.0,45.0,48.0,48.0,1.0,1,174,1
120,Bach,bwv245.28.mxl,8,64.0,60.0,64.0,64.0,1.0,1,235,1
121,Bach,bwv245.3.mxl,4,44.0,41.0,44.0,44.0,1.0,1,189,1
122,Bach,bwv245.37.mxl,32,68.0,64.0,68.0,68.0,1.0,1,250,2
123,Bach,bwv245.40.mxl,8,112.0,109.0,112.0,112.0,1.0,1,495,1
124,Bach,bwv245.5.mxl,2,48.0,45.0,48.0,48.0,1.0,1,235,1
125,Bach,bwv248.12-2.mxl,2,48.0,45.0,48.0,48.0,1.0,1,239,1
126,Bach,bwv248.17.mxl,1,32.0,29.0,32.0,32.0,1.0,1,210,1
127,Bach,bwv248.23-2.mxl,2,85.5,79.5,85.5,85.5,1.5,1,655,1
128,Bach,bwv248.23-s.mxl,2,32.0,29.0,32.0,32.0,1.0,1,183,1
129,Bach,bwv248.28.mxl,8,40.0,37.0,40.0,40.0,1.0,1,217,1
130,Bach,bwv248.33-3.mxl,2,52.0,48.0,52.0,52.0,1.0,1,210,1
131,Bach,bwv248.35-3.mxl,8,44.0,41.0,44.0,44.0,1.0,1,234,2
132,Bach,bwv248.35-3c.mxl,8,44.0,41.0,44.0,44.0,1.0,1,310,1
133,Bach,bwv248.42-4.mxl,2,159.0,156.0,159.0,159.0,0.75,1,2251,1
134,Bach,bwv248.42-s.mxl,2,84.0,81.0,84.0,84.0,0.75,1,284,1
135,Bach,bwv248.46-5.mxl,8,48.0,45.0,48.0,48.0,1.0,1,242,1
136,Bach,bwv248.5.mxl,1,48.0,45.0,48.0,48.0,1.0,1,221,2
137,Bach,bwv248.53-5.mxl,8,32.0,28.0,32.0,32.0,1.0,1,167,1
138,Bach,bwv248.59-6.mxl,2,40.0,37.0,40.0,40.0,1.0,1,277,1
139,Bach,bwv248.64-6.mxl,4,272.0,269.0,272.0,272.0,1.0,1,5220,1
140,Bach,bwv248.64-s.mxl,4,64.0,61.0,64.0,64.0,1.0,1,275,1
141,Bach,bwv248.9-1.mxl,4,61.0,57.0,61.0,61.0,1.0,1,611,1
142,Bach,bwv248.9-s.mxl,4,32.0,29.0,32.0,32.0,1.0,1,233,1
143,Bach,bwv25.6.mxl,1,52.0,48.0,52.0,52.0,1.0,1,217,2
144,Bach,bwv250.mxl,2,40.0,37.0,40.0,40.0,1.0,1,295,1
145,Bach,bwv251.mxl,2,40.0,37.0,40.0,40.0,1.0,1,328,1
146,Bach,bwv252.mxl,2,48.0,45.0,48.0,48.0,1.0,1,315,1
147,Bach,bwv253.mxl,8,40.0,37.0,40.0,40.0,1.0,1,164,1
148,Bach,bwv254.mxl,2,44.0,41.0,44.0,44.0,1.0,1,209,2
149,Bach,bwv255.mxl,2,32.0,29.0,32.0,32.0,1.0,1,141,2
150,Bach,bwv256.mxl,1,40.0,37.0,40.0,40.0,1.0,1,207,2
151,Bach,bwv257.mxl,1,40.0,37.0,40.0,40.0,1.0,1,203,2
152,Bach,bwv258.mxl,4,40.0,37.0,40.0,40.0,1.0,1,191,2
153,Bach,bwv259.mxl,2,48.0,44.0,48.0,48.0,1.0,1,230,2
154,Bach,bwv26.6.mxl,1,40.0,36.0,40.0,40.0,1.0,1,187,2
155,Bach,bwv260.mxl,2,40.0,37.0,40.0,40.0,1.0,1,215,1
156,Bach,bwv261.mxl,4,78.0,75.0,78.0,78.0,1.0,1,333,2
157,Bach,bwv262.mxl,4,48.0,44.0,48.0,48.0,1.0,1,195,1
158,Bach,bwv263.mxl,2,48.0,44.0,48.0,48.0,1.0,1,237,1
159,Bach,bwv264.mxl,2,40.0,37.0,40.0,40.0,1.0,1,156,1
160,Bach,bwv265.mxl,2,32.0,29.0,32.0,32.0,1.0,1,144,2
161,Bach,bwv266.mxl,2,66.0,63.0,66.0,66.0,0.75,1,241,2
162,Bach,bwv267.mxl,2,68.0,65.0,68.0,68.0,1.0,1,330,1
163,Bach,bwv268.mxl,2,44.0,41.0,44.0,44.0,1.0,1,248,1
164,Bach,bwv269.mxl,2,63.0,61.0,63.0,63.0,0.75,1,229,1
165,Bach,bwv27.6.mxl,4,104.0,98.0,104.0,104.0,1.0,2,303,1
166,Bach,bwv270.mxl,4,48.0,45.0,48.0,48.0,1.0,1,207,2
167,Bach,bwv271.mxl,4,48.0,45.0,48.0,48.0,1.0,1,204,1
168,Bach,bwv272.mxl,2,48.0,45.0,48.0,48.0,1.0,1,195,2
169,Bach,bwv273.mxl,4,40.0,37.0,40.0,40.0,1.0,1,210,2
170,Bach,bwv274.mxl,4,32.0,29.0,32.0,32.0,1.0,1,182,1
171,Bach,bwv275.mxl,1,60.0,57.0,60.0,60.0,1.0,1,239,1
172,Bach,bwv276.mxl,2,118.0,114.0,118.0,118.0,1.0,1,584,2
173,Bach,bwv277.krn,2,49.0,45.0,49.0,49.0,1.0,1,243,2
174,Bach,bwv277.mxl,2,65.0,61.0,65.0,65.0,1.0,1,335,1
175,Bach,bwv278.mxl,2,48.0,45.0,48.0,48.0,1.0,1,252,2
176,Bach,bwv279.mxl,2,64.0,61.0,64.0,64.0,1.0,1,278,1
177,Bach,bwv28.6.mxl,1,48.0,45.0,48.0,48.0,1.0,1,196,2
178,Bach,bwv280.mxl,1,56.0,53.0,56.0,56.0,1.0,1,279,2
179,Bach,bwv281.krn,2,32.0,29.0,32.0,32.0,1.0,1,129,2
180,Bach,bwv281.mxl,2,32.0,29.0,32.0,32.0,1.0,1,129,1
181,Bach,bwv282.mxl,2,57.0,55.0,57.0,57.0,0.75,1,171,1
182,Bach,bwv283.mxl,1,68.0,64.0,68.0,68.0,1.0,1,320,2
183,Bach,bwv284.mxl,4,60.0,56.0,60.0,60.0,1.0,1,261,2
184,Bach,bwv285.mxl,8,48.0,45.0,48.0,48.0,1.0,1,240,2
185,Bach,bwv286.mxl,1,24.0,21.0,24.0,24.0,1.0,1,106,2
186,Bach,bwv287.mxl,2,48.0,45.0,48.0,48.0,1.0,1,202,1
187,Bach,bwv288.mxl,2,48.0,45.0,48.0,48.0,1.0,1,250,2
188,Bach,bwv289.mxl,4,48.0,45.0,48.0,48.0,1.0,1,220,2
189,Bach,bwv29.8.mxl,4,108.0,106.0,108.0,108.0,0.75,1,676,1
190,Bach,bwv290.mxl,2,32.0,29.0,32.0,32.0,1.0,1,150,1
191,Bach,bwv291.mxl,2,44.0,41.0,44.0,44.0,1.0,1,190,2
192,Bach,bwv292.mxl,1,56.0,52.0,56.0,56.0,1.0,1,255,2
193,Bach,bwv293.mxl,1,32.0,29.0,32.0,32.0,1.0,1,150,2
194,Bach,bwv294.mxl,2,64.0,61.0,64.0,64.0,1.0,1,294,1
195,Bach,bwv295.mxl,2,48.0,45.0,48.0,48.0,0.75,1,187,2
196,Bach,bwv296.mxl,2,57.0,53.0,57.0,57.0,1.0,1,212,2
197,Bach,bwv297.mxl,2,45.0,41.0,45.0,45.0,1.0,1,211,2
198,Bach,bwv298.mxl,1,37.0,33.0,37.0,37.0,1.0,1,184,2
199,Bach,bwv299.mxl,4,48.0,46.0,48.0,48.0,0.75,1,212,1
200,Bach,bwv3.6.mxl,16,32.0,29.0,32.0,32.0,1.0,1,167,1
201,Bach,bwv30.6.mxl,8,56.0,52.0,56.0,56.0,1.0,1,238,1
202,Bach,bwv300.mxl,2,64.0,61.0,64.0,64.0,1.0,1,250,2
203,Bach,bwv301.mxl,2,56.0,52.0,56.0,56.0,1.0,1,227,2
204,Bach,bwv302.mxl,4,48.0,45.0,48.0,48.0,1.0,1,235,1
205,Bach,bwv303.mxl,4,44.0,41.0,44.0,44.0,1.0,1,239,1
206,Bach,bwv304.mxl,4,81.0,78.0,81.0,81.0,1.0,2,382,1
207,Bach,bwv305.mxl,1,52.0,49.0,52.0,52.0,1.0,1,282,2
208,Bach,bwv306.mxl,2,48.0,46.0,48.0,48.0,0.75,1,199,1
209,Bach,bwv307.mxl,4,40.0,37.0,40.0,40.0,1.0,1,194,1
210,Bach,bwv308.mxl,4,40.0,37.0,40.0,40.0,1.0,1,187,1
211,Bach,bwv309.mxl,4,52.0,49.0,52.0,52.0,1.0,1,237,2
212,Bach,bwv31.9.mxl,1,60.0,57.0,60.0,60.0,1.0,1,367,1
213,Bach,bwv310.mxl,2,40.0,36.0,40.0,40.0,1.0,1,170,2
214,Bach,bwv311.mxl,4,68.0,65.0,68.0,68.0,1.0,1,301,2
215,Bach,bwv312.mxl,1,64.0,61.0,64.0,64.0,1.0,1,334,2
216,Bach,bwv313.mxl,4,36.0,33.0,36.0,36.0,1.0,1,199,2
217,Bach,bwv314.mxl,8,40.0,37.0,40.0,40.0,1.0,1,189,2
218,Bach,bwv315.mxl,2,48.0,45.0,48.0,48.0,1.0,1,262,2
219,Bach,bwv316.mxl,4,40.0,37.0,40.0,40.0,1.0,1,210,2
220,Bach,bwv317.mxl,4,64.0,60.0,64.0,64.0,1.0,1,283,1
221,Bach,bwv318.mxl,2,52.0,48.0,52.0,52.0,1.0,1,201,1
222,Bach,bwv319.mxl,2,44.0,41.0,44.0,44.0,1.0,1,208,2
223,Bach,bwv32.6.mxl,2,52.0,48.0,52.0,52.0,1.0,1,212,1
224,Bach,bwv320.mxl,2,114.0,111.0,114.0,114.0,0.75,1,379,1
225,Bach,bwv321.mxl,4,48.0,45.0,48.0,48.0,0.75,1,156,1
226,Bach,bwv322.mxl,2,80.0,77.0,80.0,80.0,1.0,1,350,2
227,Bach,bwv323.mxl,8,44.0,40.0,44.0,44.0,1.0,1,102,2
228,Bach,bwv324.mxl,2,42.0,38.0,42.0,42.0,1.0,1,104,2
229,Bach,bwv325.mxl,2,68.0,64.0,68.0,68.0,1.0,1,301,1
230,Bach,bwv326.mxl,4,48.0,46.0,48.0,48.0,0.75,1,189,1
231,Bach,bwv327.mxl,4,48.0,46.0,48.0,48.0,0.75,1,149,1
232,Bach,bwv328.mxl,1,193.0,189.0,193.0,193.0,1.0,1,984,2
233,Bach,bwv329.mxl,8,56.0,52.0,56.0,56.0,1.0,1,232,1
234,Bach,bwv33.6.mxl,1,64.0,61.0,64.0,64.0,1.0,1,309,2
235,Bach,bwv330.mxl,1,36.0,32.0,36.0,36.0,1.0,1,182,2
236,Bach,bwv331.mxl,1,40.0,36.0,40.0,40.0,1.0,1,150,2
237,Bach,bwv332.mxl,2,32.0,29.0,32.0,32.0,1.0,1,153,1
238,Bach,bwv333.mxl,4,40.0,37.0,40.0,40.0,1.0,1,213,2
239,Bach,bwv334.mxl,4,44.0,41.0,44.0,44.0,1.0,1,209,2
240,Bach,bwv335.mxl,4,32.0,29.0,32.0,32.0,1.0,1,154,2
241,Bach,bwv336.mxl,8,32.0,29.0,32.0,32.0,1.0,1,161,1
242,Bach,bwv337.mxl,1,48.0,44.0,48.0,48.0,1.0,1,204,2
243,Bach,bwv338.mxl,1,40.0,37.0,40.0,40.0,1.0,1,206,2
244,Bach,bwv339.mxl,8,52.0,48.0,52.0,52.0,1.0,1,231,1
245,Bach,bwv340.mxl,1,76.0,73.0,76.0,76.0,1.0,1,405,2
246,Bach,bwv341.mxl,4,36.0,33.0,36.0,36.0,1.0,1,156,2
247,Bach,bwv342.mxl,1,72.0,69.0,72.0,72.0,0.75,1,230,2
248,Bach,bwv343.mxl,4,63.0,61.0,63.0,63.0,0.75,1,241,2
249,Bach,bwv344.mxl,4,72.0,69.0,72.0,72.0,0.75,1,244,2
250,Bach,bwv345.mxl,4,40.0,37.0,40.0,40.0,1.0,1,206,2
251,Bach,bwv346.mxl,1,61.0,57.0,61.0,61.0,1.0,1,261,2
252,Bach,bwv347.mxl,8,52.0,49.0,52.0,52.0,1.0,1,231,1
253,Bach,bwv348.mxl,4,64.0,61.0,64.0,64.0,1.0,1,278,1
254,Bach,bwv349.mxl,2,48.0,45.0,48.0,48.0,0.75,1,165,1
255,Bach,bwv350.mxl,4,72.0,69.0,72.0,72.0,1.0,1,362,2
256,Bach,bwv351.mxl,4,36.0,33.0,36.0,36.0,1.0,1,183,2
257,Bach,bwv352.mxl,1,48.0,44.0,48.0,48.0,1.0,1,239,2
258,Bach,bwv353.mxl,4,56.0,52.0,56.0,56.0,1.0,1,236,2
259,Bach,bwv354.mxl,32,48.0,44.0,48.0,48.0,1.0,1,235,2
260,Bach,bwv355.mxl,8,64.0,60.0,64.0,64.0,1.0,1,282,1
261,Bach,bwv356.mxl,4,60.0,57.0,60.0,60.0,0.75,1,224,2
262,Bach,bwv357.mxl,8,64.0,60.0,64.0,64.0,1.0,1,289,2
263,Bach,bwv358.mxl,2,52.0,48.0,52.0,52.0,1.0,1,200,2
264,Bach,bwv359.mxl,8,48.0,44.0,48.0,48.0,1.0,1,206,1
265,Bach,bwv36.4-2.mxl,4,56.0,53.0,56.0,56.0,1.0,1,242,1
266,Bach,bwv36.8-2.mxl,4,32.0,28.0,32.0,32.0,1.0,1,149,2
267,Bach,bwv360.mxl,4,48.0,44.0,48.0,48.0,1.0,1,199,1
268,Bach,bwv361.mxl,4,52.0,48.0,52.0,52.0,1.0,1,221,1
269,Bach,bwv362.mxl,4,106.0,103.0,106.0,106.0,1.0,2,460,1
270,Bach,bwv363.mxl,2,47.0,44.0,47.0,47.0,1.0,1,216,2
271,Bach,bwv364.mxl,4,44.0,40.0,44.0,44.0,1.0,1,178,2
272,Bach,bwv365.mxl,1,36.0,32.0,36.0,36.0,1.0,1,148,2
273,Bach,bwv366.krn,2,48.0,45.0,48.0,48.0,0.75,1,177,2
274,Bach,bwv366.mxl,2,72.0,69.0,72.0,72.0,0.75,1,267,1
275,Bach,bwv367.mxl,1,48.0,45.0,48.0,48.0,1.0,1,208,2
276,Bach,bwv368.mxl,2,97.0,94.0,97.0,97.0,0.75,1,321,1
277,Bach,bwv369.mxl,2,48.0,45.0,48.0,48.0,1.0,1,192,2
278,Bach,bwv37.6.mxl,8,68.0,65.0,68.0,68.0,1.0,1,307,1
279,Bach,bwv370.mxl,1,32.0,29.0,32.0,32.0,1.0,1,147,2
280,Bach,bwv371.mxl,2,160.0,156.0,160.0,160.0,1.0,1,822,2
281,Bach,bwv372.mxl,4,62.0,60.0,62.0,62.0,1.0,1,269,2
282,Bach,bwv373.mxl,2,40.0,36.0,40.0,40.0,1.0,1,158,1
283,Bach,bwv374.mxl,4,80.0,76.0,80.0,80.0,1.0,1,358,2
284,Bach,bwv375.mxl,2,40.0,37.0,40.0,40.0,1.0,1,190,1
285,Bach,bwv376.mxl,8,40.0,37.0,40.0,40.0,1.0,1,184,1
286,Bach,bwv377.mxl,4,32.0,29.0,32.0,32.0,1.0,1,154,1
287,Bach,bwv378.mxl,2,64.0,61.0,64.0,64.0,1.0,1,276,1
288,Bach,bwv379.mxl,2,36.0,32.0,36.0,36.0,1.0,1,152,1
289,Bach,bwv38.6.mxl,1,52.0,48.0,52.0,52.0,1.0,1,183,2
290,Bach,bwv380.mxl,8,52.0,48.0,52.0,52.0,1.0,1,258,1
291,Bach,bwv381.mxl,2,60.0,56.0,60.0,60.0,1.0,1,278,2
292,Bach,bwv382.mxl,2,49.0,45.0,49.0,49.0,1.0,1,234,2
293,Bach,bwv383.mxl,1,108.0,104.0,108.0,108.0,1.0,1,486,2
294,Bach,bwv384.mxl,8,32.0,30.0,32.0,32.0,1.0,1,130,1
295,Bach,bwv385.mxl,8,56.0,53.0,56.0,56.0,1.0,1,240,1
296,Bach,bwv386.mxl,8,48.0,45.0,48.0,48.0,1.0,1,203,1
297,Bach,bwv387.mxl,2,32.0,29.0,32.0,32.0,1.0,1,162,2
298,Bach,bwv388.mxl,2,40.0,37.0,40.0,40.0,1.0,1,209,1
299,Bach,bwv389.mxl,1,76.0,73.0,76.0,76.0,1.0,1,370,2
300,Bach,bwv39.7.mxl,4,52.0,48.0,52.0,52.0,1.0,1,216,1
301,Bach,bwv390.mxl,1,108.0,106.0,108.0,108.0,0.75,1,351,2
302,Bach,bwv391.mxl,2,54.0,51.0,54.0,54.0,0.75,1,201,1
303,Bach,bwv392.mxl,4,48.0,45.0,48.0,48.0,1.0,1,218,1
304,Bach,bwv393.mxl,8,49.0,45.0,49.0,49.0,1.0,1,199,1
305,Bach,bwv394.mxl,8,48.0,45.0,48.0,48.0,1.0,1,247,1
306,Bach,bwv395.mxl,8,48.0,45.0,48.0,48.0,1.0,1,210,1
307,Bach,bwv396.mxl,1,32.0,29.0,32.0,32.0,1.0,1,140,2
308,Bach,bwv397.mxl,2,52.0,48.0,52.0,52.0,1.0,1,209,1
309,Bach,bwv398.mxl,4,64.0,61.0,64.0,64.0,1.0,1,278,1
310,Bach,bwv399.mxl,2,48.0,45.0,48.0,48.0,1.0,1,200,2
311,Bach,bwv4.8.mxl,2,48.0,44.0,48.0,48.0,1.0,1,215,2
312,Bach,bwv40.3.mxl,4,44.0,41.0,44.0,44.0,1.0,1,204,2
